place,netTime,clockTime,yob,ageClass,acPlace,sex,nationality,name
1,7568,7568,1973,35,1,M,ETH,a15265c94e1c60f50f6f27bbfda25e021417b70d
2,7624,7624,1982,20,1,M,KEN,c73dda3c94faaf26fefc45e8aa318177e2b5bca9
3,7661,7661,1983,20,2,M,ETH,f474cc2eb4b7aa65179368c20062ac5a9902636a
4,7781,7781,1986,20,3,M,ETH,c50d0159ee73836b9b313a3dae97937234370e3c
5,7792,7792,0,20,4,M,KEN,0f82f6f94b52ca8b9c2f37d94fefccfdc9a9df16
6,7798,7798,1984,20,5,M,ETH,1836a5c29343fcea20ec6e6d6409ec3f00616911
7,7948,7948,1982,20,6,M,ETH,96dd1071699ac19a85086b33d9df60e01197e927
8,7974,7974,1976,30,1,M,JPN,8f7cc42ddd6c85a7e7398c1bd807bce8f9171136
9,7980,7980,1978,30,2,M,JPN,83f4a9286bb070718bbe2684e1e5cb75657eee2d
10,7999,7999,1982,20,7,M,ZWE,726bc28cce9fcfa958879271e9425074f47452f4
11,8007,8007,0,20,8,M,KEN,e64d521ad27ab86febede10fca43e44dea49af9d
12,8105,8105,1982,20,9,M,ETH,d66f8424f7bf00715cd98e25028c939cbc4e2632
13,8135,8135,1978,30,3,M,GBR,55a90868867fa9668f8cdb6fd9f6d040dcd388d5
14,8175,8175,1983,20,10,M,KEN,0a3eba459db7d1054ad498ebc59724d21ee1ca2e
15,8253,8253,1983,20,11,M,DNK,6fb7e9703ae1cc5d689b67d0e2cbe980b6a24b9d
16,8279,8279,1973,35,2,M,USA,1c619a81be64d81d3a3879912156427ef00b1db5
17,8291,8291,1983,20,12,M,DEU,8f11d210706b4291f4dd18a8bb74ddde4a4e2822
18,8327,8327,1980,20,13,M,AUT,c38cfda45551573d9038bac9fcfc187120fe7603
19,8392,8392,1983,20,14,M,KEN,9e6ec7a3124e1df943d7ecfabd1a273365631ab9
20,8499,8499,1982,20,15,M,DEU,2bd3880ae6b2241e892af66aab0a106f95938144
21,8507,8509,1980,20,16,M,DNK,a76089081ed5984766f1bb737d3fe365e4540105
22,8561,8561,0,20,17,M,FRA,1646a481ede6800cdcf4bc15c36805b4e78a1d4b
23,8587,8628,1977,30,4,M,ISR,ab9f5fa454150d587c95207fced5d2a8366c6be8
24,8599,8599,1979,30,5,M,NZL,524c464269385a31daa3c6e23afdd7fbdb898c9d
25,8619,8621,1972,35,3,M,ESP,bfe9421abb3e6ab9d501fc147978e3494c072c77
26,8650,8650,1981,20,18,M,ITA,430e3fbea0b239b5f3b416454c66f47316f5e88c
27,8650,8653,1970,35,4,M,AUT,4fa822e5e49b2bdf6c3e59ce83f745b262aa3599
28,8659,8667,1981,20,19,M,DNK,782faee06f022d4b247f9bcb79f13eae75b2a010
29,8668,8668,0,20,20,M,JPN,15666a8edc025b4504251735e72acd13184e1b1c
30,8684,8684,1973,35,5,M,GBR,3de70695f2894781fcc90e9413f9b48fd90383b6
31,8687,8687,1987,20,1,W,ETH,19e6074154f5f74ca0e6aa4c0438e47460f869e4
32,8687,8687,0,20,21,M,DEU,279369649fa545b5a0537f30bdc2945001a09b20
33,8697,8709,1979,30,6,M,GBR,66d610aba76f11b678c050bffa52d957b81a6c2f
34,8719,8726,1969,40,1,M,DNK,c4e04afa7c195bc3493d23e04894cebf465ccaca
35,8723,8723,1978,30,7,M,AUT,cc1dcc979e52f27fa9c65f4357b59a626162c54d
36,8725,8725,1976,30,8,M,GBR,2b259eaab68c8d71f436c920312505e83c25f0a4
37,8727,8727,1978,30,9,M,DNK,070a173fa347e81414ba6196577b6efa03579b5a
38,8727,8727,1973,35,6,M,JPN,de3942ae50a97db1f15a25563dfd6978c97efade
39,8742,8742,1981,20,22,M,NLD,600a14a8239eb56733863a5207ee9e4730c632e8
40,8784,8784,1974,35,1,W,RUS,70688a5fe406c282288d0aa08dbefe3415ceb0fe
41,8798,8798,1983,20,2,W,ETH,269b19541f54e241d98053fae8333c1f1fc69a75
42,8805,8805,1979,30,1,W,ITA,6a4d3e2e217c2ab73240691ce4079331677266b5
43,8807,8807,0,20,23,M,ITA,60b912deb46b13450a99aff9351bbb5c0078ae9f
44,8808,8813,1971,35,7,M,FRA,b02b1c96bab7626e53f115440ec2c2f68cfe3cc6
45,8810,8810,1978,30,10,M,AUT,80f2431c54235f39ca23a2f457b0808d006407c4
46,8829,8829,1986,20,3,W,ETH,1f9cee00d2d568ffa262b492b182671f7cb74c07
47,8857,8879,1971,35,8,M,GBR,7f8759d7ee7503ba372752f3ec89ae10dbdc18f4
48,8860,8860,0,20,24,M,SWE,a0186ddc2c70cba70f32f554406560dd1e080057
