place,netTime,clockTime,yob,ageClass,acPlace,sex,nationality,name
1,7466,7466,1973,30,1,M,ETH,a15265c94e1c60f50f6f27bbfda25e021417b70d
2,7611,7611,1978,20,1,M,KEN,180d7c634c3fe25fe6d252113f2a27d2349cd63b
3,7649,7649,1979,20,2,M,KEN,bfa714954b9b3cfa22d4361eb2ddfc63106620e8
4,7681,7681,1978,20,3,M,KEN,354658649da56c20c72b6689d2b7e1b8cc334ac9
5,7789,7789,0,20,4,M,ETH,4787f2b2de7d66ad2829ae5b6648029a7e18c734
6,7831,7831,1973,30,2,M,AUS,9a8c16bc5e7274405916dcc1134b79701dd5390d
7,7920,7920,1979,20,5,M,POL,66e54a4793d3233a61b65886114f62cbd04c1fb9
8,7928,7928,1971,35,1,M,KEN,4c9b476acd638baa511ae5e0f99e9ac8cdfc028f
9,7941,7941,1976,30,3,M,JPN,289435acb4f3b20d513c79eeb66c526ca66afb05
10,7966,7966,1976,30,4,M,ESP,ce732c8b673db4602e08d8583c34caa352646aef
11,7993,7995,1982,20,6,M,ETH,4d88a84cebd5d0c1fccb9249f334db3080a55467
12,8024,8026,1983,20,7,M,KEN,2cd73c72e6e9b56f92ad97e9b07457ce11304ab0
13,8025,8027,1979,20,8,M,ESP,99869b00c56f9f7ba4ce9e7c9f5b4a5d4bde0780
14,8049,8052,1982,20,9,M,ETH,d66f8424f7bf00715cd98e25028c939cbc4e2632
15,8087,8089,1975,30,5,M,UKR,05d2122a57c1dccc1e7cb88c119ca5cac35e37eb
16,8091,8094,1975,30,6,M,JPN,572887118377463cb4b26e4208baa028e9c6f790
17,8100,8102,1975,30,7,M,AUS,b283976d9d94a35ffb7c6a7911b84f7a58c6241d
18,8177,8179,1975,30,8,M,JPN,ac5edd816dbe6923537d36943ee7560f473efa45
19,8244,8246,1966,40,1,M,SVN,949bea3dea81c241e49e48a5df50686bc5a21178
20,8261,8264,1976,30,9,M,ESP,c2165fb407b3bff2f5b905ab36143109bbfe999e
21,8289,8291,1978,20,10,M,CZE,8e12e375618246de9828eef40d571763a6f18be5
22,8323,8326,1976,30,10,M,PRT,3e568c4fb28524a44e5c87bb9beb64b2fc6a53e0
23,8344,8346,1978,20,11,M,DEU,d2535572b980974470d775fe034e8d298087d73f
24,8382,8384,0,20,12,M,ETH,d1ce70e04145ad52bcdeba7cdec494089dc5c4cf
25,8515,8520,1967,40,2,M,ESP,724e847e38001f4b3a2fccebde5c6c7df6d7fde9
26,8532,8536,1975,30,11,M,SWE,466252943bad3bcad60028883e9c43429366a47e
27,8544,8546,1974,30,12,M,FRA,201de98d2208e6b4711b267de73aa94a2cd82ecd
28,8572,8574,1983,20,13,M,FRA,c4156d1682d610e18d04a804ad73e800fabd1968
29,8575,8577,1978,20,14,M,HUN,11fe62106feffb97dfede142915c6f418059cdc7
30,8588,8591,0,20,15,M,ETH,fb0243efa3fcd2f27d7476cd52b151aeb4765d1a
31,8597,8597,1974,30,1,W,ETH,b0c9d37ac8d6ed50e9e682b8eaa3d3b066783fbb
32,8644,8646,1971,35,2,M,BEL,460f031596f529178a91cb9f7cad5574ac8371ef
33,8653,8656,1974,30,13,M,FRA,1646a481ede6800cdcf4bc15c36805b4e78a1d4b
34,8687,8690,1974,30,14,M,CHE,45a9a788b17a7f48ddeee9c944083cff3eadef46
35,8689,8692,0,20,16,M,KEN,b7ad987706a2c583c07c0e23b143f25dc226d835
36,8691,8691,1972,35,1,W,DEU,113c4f60c4d752d6a4e09e0d209337bf97d3cdc1
37,8734,8737,1973,30,15,M,ITA,e7b05ea9eed3378734ab5b71472f09f5fd717c9d
38,8787,8787,1976,30,2,W,KEN,6852c48469abe27747d24392d9681b9f73f2f04e
39,8814,8814,1970,35,2,W,RUS,bfde267c55950d3b7e429c467d25810951adedfc
40,8823,8842,1976,30,16,M,NOR,c9ba1004facf981fcbe99c0464a202cd9d4bcf77
41,8825,8828,1976,20,17,M,DEU,96052ed03a521e68a4bdcc51ddda3708763c6012
42,8825,8827,1970,35,3,M,GBR,1908e6217788a9e6e56cec0a62954e03f00c3093
43,8852,8855,1971,35,4,M,ITA,5603efd55206c41af76349ec2c3a02061e27a6f4
