place,netTime,clockTime,yob,ageClass,acPlace,sex,nationality,name
35924,05:49:00,06:16:18,1939,70,18,W,DEU,8d2de73a414abe8764d3baffef4743115f4bfdfb
35731,05:43:02,06:08:47,1943,70,16,W,USA,086b5adbc189d2079df2f0d0c214bac50da89805
35215,05:29:42,05:56:31,1939,70,13,W,ITA,b48232166ddc449b712e453209ec74938846c1fb
33540,05:06:15,05:39:26,1942,70,11,W,DEU,2ef28c51541bbf5d494eda656e58a98cb1342979
33424,05:04:54,05:12:01,1940,70,9,W,DEU,284566727268f63551e5dd8e2eec16ea8e252d8b
32413,04:56:37,05:09:14,1943,70,7,W,DNK,ede8641bfe103b41861a78ffc57fa8cd710cd666
36240,06:03:05,06:30:37,1941,70,21,W,DEU,037c88155fa69c4c7d7e1739af45bd7e8e2c5e52
33417,05:04:46,05:35:55,1940,70,8,W,DNK,d30f3cec8b982339cec21ef1f418896a7c0c8738
33536,05:06:14,05:33:30,1940,70,10,W,DEU,f6a316497688356d603791103c60bc6bec911416
35817,05:45:34,06:14:17,1941,70,17,W,DEU,d148ffa19cfabc8f3ab969ddee5b824e248f6d4c
31307,04:50:05,05:07:10,1939,70,5,W,DEU,e93d8a6f07fc93bc4deb1a05e35df6fae3588420
34634,05:20:10,05:49:55,1941,70,12,W,AUT,e660dcf730d18ec3e84d178bc991a563b6015920
35374,05:33:11,06:01:23,1941,70,15,W,CAN,ed7c872d14e7823089a58334c2c359ec60f26d30
27434,04:31:04,05:02:05,1942,70,2,W,DEU,f2e2a53a3aa8a7d2d5c5e07292b31a8608eb55e5
32231,04:55:36,05:13:07,1943,70,6,W,DEU,e928a15dd292e6225a1446b16fc80a3ac7130b3d
35360,05:32:59,05:47:08,1940,70,14,W,DNK,ead129136bc8bb130dd011cce69282ac18d29823
36210,06:01:28,06:18:00,1941,70,20,W,DEU,6101b38b1b3231c09617d2fe8440d32c6a9a79f0
29493,04:40:26,05:07:14,1942,70,4,W,DNK,ab4b60dc50075e8420b176f13d87a6308a1de815
36038,05:53:26,06:22:20,1943,70,19,W,GBR,850470ed79f945304300e317d1534ecbcca83cb1
27536,04:31:32,04:50:45,1943,70,3,W,DEU,bca30b72ea7eb287a82bd3485fad26dda76dab08
26859,04:28:56,04:54:26,1942,70,1,W,GBR,d8f5ad8fd667a10718e5cafd0a0313e1e0c6a176
35377,05:33:14,05:50:03,1947,65,350,M,DEU,4f44c95e0831f27ae5b0ce38f1a5f1fec2ece6dd
33850,05:09:55,05:38:54,1948,65,309,M,DEU,ccb5b8714cd2fa634eba0ad5fa04b500bf6dd083
14439,03:51:38,03:58:25,1947,65,57,M,DNK,fc29899efa5a9c5110dc20080a08f690ed6c4a37
23968,04:18:25,04:30:36,1948,65,141,M,SWE,a63d237d22b2366acb8dadc5c9ad10804cf3b193
29874,04:42:25,05:11:11,1944,65,235,M,DEU,5222cb3bdd29b0f62b48d7832dc5ba25f0a7d0d5
31265,04:49:48,05:01:42,1948,65,261,M,NOR,01669cfb2aa35f8ef25c6d645d9b062dca47d42f
27670,04:32:05,04:42:38,1944,65,192,M,DEU,efbe33305eb53dc10fd4aead297ba09ae6dea359
35982,05:50:34,06:22:05,1946,65,366,M,DEU,0e6bb89a6961602385038d384cd4a9156c4f9b62
34127,05:13:28,05:42:25,1945,65,313,M,ITA,f86c76946da927fd3cfbbc758154b7794dfb7cb9
35746,05:43:47,06:10:38,1944,65,361,M,SWE,d2b79596f88446ab096483d3367ee964f6bd7a54
25502,04:23:53,04:48:23,1948,65,158,M,JPN,b5a9c8aad09b0e369ca055f6b51e5ed8c60e619e
36320,06:11:56,06:40:57,1944,65,373,M,GRC,e46def0bf5cc204c029c44bfcaeb3400bbf510ba
35482,05:35:28,05:38:56,1944,65,355,M,ITA,101b91a723c14ed11a0f6d268163b0b54e803865
19670,04:03:59,04:11:45,1946,65,95,M,DEU,b5c12b2f959b3d1dcad15400edf6eb85b30c1601
4883,03:21:41,03:22:43,1948,65,8,M,FRA,e938971f2192bbe2c87a9047066918e223c7f4fc
17572,03:58:25,04:28:42,1948,65,78,M,DEU,53a3ac52047509c1a5f7522878dcf0c00d02bc78
31630,04:51:57,05:06:39,1948,65,267,M,DEU,3aead5fed0134fd3f2a8ed64098e99883440a219
25478,04:23:49,04:37:04,1945,65,157,M,FIN,8842aa0327670e930d8abb50b7989ac876abbf2a
31687,04:52:20,04:55:55,1947,65,270,M,DEU,8636c1579ed9a809d97aa3698aece00e68c8bcd9
14921,03:52:51,03:53:26,1944,65,60,M,DEU,c309322aa527810d206b4a9246360f121dc124fd
27472,04:31:14,04:56:27,1945,65,188,M,DNK,56547a7488e851a7cadb64e680434e836e6d40db
15889,03:55:05,04:06:43,1947,65,69,M,ITA,5eb4e60014b8e86f906869f1a2fe3ce687ac3400
22705,04:13:56,04:26:56,1948,65,127,M,DEU,c37b07bb830844f378094e66a1805282a2e69b44
18030,03:59:16,04:11:10,1947,65,80,M,DEU,5d02f009be4d403240cd7f1aec33e77fd275e94f
30173,04:43:59,05:17:49,1944,65,242,M,DEU,936feffb00a3e179592dc5444d65ce9ac96b21a6
13421,03:48:59,03:55:50,1946,65,45,M,CHE,243f0e944aa306c317afc673d60953634fa23fa9
25975,04:25:39,04:37:08,1948,65,166,M,DEU,26efa86f09f6be009e214ec309b9e8c8c002ca9b
18797,04:01:12,04:11:55,1945,65,88,M,DEU,4c5b1f11153243bc3553bc8dfaae3d3677abd69d
14280,03:51:15,03:55:08,1946,65,56,M,GBR,0208a7f6a83b2949dfc11da1c1be9985fc1a0f7b
24687,04:21:01,04:37:56,1946,65,147,M,NLD,c81f8398bdad5a9f735f52217f97ba16d4d631af
18780,04:01:09,04:07:08,1945,65,87,M,DEU,b385a5ab24372e3a18efeb84acba04ec090150bc
3344,03:13:52,03:16:35,1946,65,3,M,CAN,c4bcdd4975c80aaa4b885a5a5dddcbc6254f9dda
3027,03:12:17,03:12:56,1947,65,1,M,DEU,838abb9c1f1c58158ee84a94e814732c465b86bc
23257,04:15:55,04:34:26,1948,65,133,M,DNK,f179b776ee1dbbb42bb7ab24b518a4667c7f9778
35188,05:29:19,06:01:03,1946,65,347,M,DEU,efc895a362c0d98ce4e5367340d1d6aa7f40132f
13502,03:49:11,03:52:23,1948,65,48,M,DEU,2286ecc765b7287cc81484ecf34d7fa079db78f3
9152,03:36:38,03:48:11,1948,65,17,M,CAN,b542a54d677637b28ddab126e995c7e30b25868d
8107,03:32:56,03:33:18,1946,65,15,M,USA,440f0bed226701afadd2b4d04a5cc0f5cd18b689
31792,04:52:55,05:22:13,1947,65,274,M,DNK,5ef87f9602e9b7b6adfcea4d6e2a6d85c7126d10
15836,03:54:59,04:06:58,1948,65,68,M,DEU,f6addfc184c872cc30767dc3f7bb96d60129e1a3
10827,03:41:43,03:44:06,1946,65,25,M,JPN,e3c41a9a043a0d288457e3ca1b6f9eaa48c2169a
33495,05:05:42,05:35:07,1947,65,299,M,DNK,1f794e8ba5ec40e8c7043e060fc5ae646fed5c48
33257,05:03:04,05:28:22,1944,65,293,M,CHE,7daa4a2ecf64f8fd27081b385c33370aafb5b591
28114,04:34:04,04:59:39,1948,65,200,M,CAN,f1808e7b862c5786439aa5ce8c01923eeee749aa
12954,03:47:50,03:49:18,1946,65,42,M,DEU,9972b48e63d7bf2adf92fd9d5b433cdacca0f821
33479,05:05:31,05:24:21,1945,65,298,M,DEU,133bf0cdf51a688dbb45ffc5a0fba30fc95d4c4c
27591,04:31:45,05:00:12,1946,65,191,M,ITA,927cedda9812d7eb922b5ca822c243bc466b0997
19962,04:04:56,04:17:28,1947,65,101,M,DEU,d51ca0f3a4c585b873053f55fed170da1efdd4bf
11093,03:42:29,03:46:41,1946,65,30,M,DEU,3298aa74be03754f9fa06fa87efbcbfedb027d1f
35391,05:33:35,06:02:16,1948,65,351,M,DEU,6c73e63c4ae9d2b380f4e0ecdfb28ff1ecc9057e
22013,04:11:41,04:36:37,1948,65,123,M,DEU,e3f79c76c9bf3d85d5268abdc16d8d8b2d129635
34208,05:14:29,05:46:04,1948,65,318,M,AUT,157959542778a48503f907d223490a00df489277
32514,04:57:20,05:27:09,1948,65,284,M,CAN,4daffdea8aa074720e0c199663a6d8e225491a90
34353,05:16:10,05:42:23,1948,65,324,M,DNK,1a9c2062fe35e63d56b2320a502757b6cebe2843
27679,04:32:09,04:49:09,1948,65,193,M,DEU,ffeb00d6fb879d21ce49c3734847780f4f0d7b73
23018,04:14:57,04:30:02,1948,65,129,M,DEU,1744fd8355ec655dcd86847576d4a6e5e9f4bd3b
27307,04:30:33,04:49:08,1948,65,186,M,GBR,138ea77e9c5745c1f517332b05422738d6e7b414
4695,03:20:51,03:23:32,1946,65,5,M,DEU,72e9903ab0611806cc7f602859c8590aa3d939d9
19700,04:04:03,04:31:49,1944,65,96,M,DEU,7872b4a6b616a34a4bce2888967f660f6d056adf
29044,04:38:11,05:06:49,1947,65,216,M,DEU,aa330e6d66d3b1c3e9cfded7f92da2c5361d850b
22911,04:14:41,04:34:24,1946,65,128,M,DEU,5b9da632deacd7c5595ad0d3722b4e41ad4a79a4
34315,05:15:47,05:35:15,1945,65,321,M,DEU,9ae6d6dbd4dd1ad7db2a164c6dc14556a60b1739
26075,04:26:03,04:46:19,1947,65,167,M,NLD,b297c99c656816a5842fa333837828235b8a9056
26495,04:27:38,04:47:27,1944,65,170,M,DEU,baeed0e68b81f020d56396357fa4e91bf298d703
33690,05:08:04,05:32:54,1944,65,303,M,DNK,c934ed7cd324a1c9e763ccd8ea6ca6121e5c74ed
15523,03:54:13,04:05:23,1946,65,66,M,DEU,fa0cbbcbd016edf21243c9c23dda54ffcbc3bb3b
36198,06:00:52,06:34:03,1944,65,368,M,DEU,bb014e257fab69c5d8996ecc1d90e1af3c2db0f8
30115,04:43:44,04:56:29,1947,65,240,M,MEX,f656065344caf508e2c9ca09ba6aa817cddf72c6
20234,04:05:57,04:32:24,1944,65,103,M,DEU,85191a57acdc6036643c67532785fdc4af68629f
31812,04:53:01,05:18:47,1944,65,275,M,DNK,cc6c39cded024a655cad0707c9eafa696099425f
32333,04:56:12,05:24:47,1947,65,283,M,CHE,7f9b3b2161add9ea5a390ce35b23026351556f24
34604,05:19:45,05:52:22,1948,65,332,M,NLD,702781c60e54419521a6813d42f31ab9984a1209
13617,03:49:30,03:51:58,1948,65,49,M,DEU,e2c4dddf3a7016320b9bac9b664ba711c4a40c9a
26617,04:28:07,04:47:00,1945,65,172,M,DEU,f2648aa078a5821106da712b9a9d9e9500116c09
36451,06:35:38,06:52:23,1945,65,380,M,DEU,75f8a7611d4866ebcfae2fdf84f2bafd4ae4b4ee
6609,03:28:18,03:32:13,1946,65,13,M,LTU,a41e932fd425ce250a51547d72da9ae344214fb4
28938,04:37:40,05:05:38,1948,65,213,M,NLD,c01c06add6cc9792851fd11b92803f5b89396eac
29453,04:40:13,04:58:25,1945,65,231,M,NLD,bee2a084abfb59500512f24d7d0d32c15fff6f11
15807,03:54:53,04:00:18,1948,65,67,M,NLD,c257877940f0e47c5af95458313624088e88e2fc
20691,04:07:19,04:21:06,1947,65,108,M,CAN,59464156a89ea5f230e3a3dc11f722e9cc2450e5
19019,04:01:58,04:07:28,1945,65,92,M,ESP,041d9d019ff8e65bec1ade1afdbf7bf3c36c1b30
30891,04:47:41,05:12:39,1946,65,256,M,DEU,3905d3baf60e043ee6f16c3ab09a55d9593138ef
10227,03:39:53,03:55:33,1948,65,23,M,DEU,21f0f805ee20d95be417520ef3ed50b4a5a1b0cd
10892,03:41:54,03:55:04,1947,65,26,M,CHE,7ed4b02924c8b0d23cb45fc8adf8201dbbb4aedb
29374,04:39:51,04:58:53,1948,65,226,M,CHE,c3baba979b9b1d5fc7075ad234ecc5cb0233855d
34247,05:15:05,05:39:26,1945,65,319,M,NLD,253e04e64bdc2f96130908992c8de564e18ba216
34801,05:22:27,05:47:07,1948,65,338,M,DNK,28f74832a04ab02f835ecbcc07d349336d9500ce
34914,05:24:42,05:49:43,1947,65,340,M,JPN,8162ec19b1846086498c1346ef095a06e8e135fb
27303,04:30:33,04:49:38,1947,65,185,M,GBR,cadb0fbaa92aec9d637eaef3b85fabc26dc87633
18480,04:00:17,04:13:23,1946,65,83,M,NLD,6ff81e00d319d3e3f279149de763fa65cf06699e
12802,03:47:25,03:59:15,1948,65,40,M,DEU,d27ba99a30d6d3badef322f82f79d702705f653e
29964,04:42:52,04:54:55,1948,65,236,M,DEU,e722e40c6c2eb3f42efa753468fd8660a3d76734
23322,04:16:09,04:18:30,1948,65,135,M,DNK,cb93cba93ccb99174fea64340575b3901a8fe3d5
33642,05:07:23,05:39:05,1945,65,302,M,CAN,20167ff7860c30458927db33a7882b12e1c1197c
30159,04:43:55,05:10:52,1947,65,241,M,POL,b7b3bad9f8277dc4d678157c4718e2738dbb119a
33698,05:08:11,05:33:09,1945,65,304,M,DEU,0d5ba4ed3655284da27124d52ef6528cd306aaaa
31543,04:51:25,05:05:50,1944,65,265,M,DEU,bc7b9d1482c071b0a5e33f490f5a4ea5dad31c90
35645,05:39:59,06:09:09,1947,65,359,M,DEU,7e579b1e74c830947eb2ada57196b0654705c9c3
12330,03:46:01,03:49:52,1947,65,37,M,DEU,9c31a9edfcfb72b353693554cac3177e3852544b
19566,04:03:40,04:18:51,1948,65,94,M,DEU,ad1be9d48c1b5ed0ecdd853bf8f22d85dd47af02
29429,04:40:06,04:55:34,1947,65,230,M,DEU,9d8fcf922d99bb331366740bc9d7f626b99c9bc7
9544,03:37:53,03:41:18,1945,65,21,M,DNK,123b427cdbd778f8d4eb58db1a6754ded5789f48
21600,04:10:25,04:21:15,1947,65,119,M,DEU,f89abc4c9ef009710216155aa20e35759506771a
32609,04:57:55,05:30:55,1947,65,285,M,DEU,9d62581ad71178442381a4423bda17aabd110e05
17699,03:58:38,04:11:56,1948,65,79,M,DEU,612b2bb9c53455ab4f5371bf95bc26ab46694b2e
34498,05:18:08,05:44:08,1948,65,328,M,DEU,476cb4397dc81befe519e93444f1169c4fd24803
28437,04:35:27,04:52:08,1946,65,206,M,FIN,1f469d50e582a4daa15c06ee4d41d899b93a4633
19793,04:04:19,04:21:32,1945,65,97,M,DEU,601f196337012a7b7cf8cfd9a9f71c96a66ac392
5436,03:24:11,03:26:43,1946,65,11,M,AUT,653d64a8f6f047eb1bda9238b719b3ef7b8a84b4
13340,03:48:48,03:51:32,1947,65,44,M,SVK,d0c6035fde31fd74805930d50f3eec4f65cd75d4
35565,05:37:26,06:03:53,1947,65,358,M,DNK,d61efabec4aad02a810ea958671aa5d815665257
30935,04:47:53,04:48:01,1946,65,257,M,IRL,3a4ecbf987d380dd6fff71bfb8360ebc7fe123f3
36251,06:04:08,06:31:07,1947,65,370,M,DEU,09ca845b5b7ed1eddd1ad6ad90e4c74dd934960c
12933,03:47:46,03:53:02,1948,65,41,M,DEU,eea676bfbbfe197aeb298661b77c985da700288e
24386,04:19:55,04:31:54,1944,65,145,M,DEU,eb5158d6a884a2530b69f3e3e1f07d623a4c8359
31436,04:50:47,05:04:01,1946,65,262,M,AUT,e4f580b8f956c989f43320f0c0214f804f049230
4705,03:20:53,03:22:43,1948,65,6,M,FRA,8e335f7c1702769b9ca3abb8e81a659ed8aa285e
30654,04:46:28,05:07:11,1947,65,250,M,DEU,7a67b16e01f51f0b1b82bb4633061b4472202f2e
27026,04:29:32,04:55:32,1945,65,178,M,DEU,9aebd6370b2f00ff57d22db78c29ca251a3d390d
34391,05:16:42,05:37:15,1947,65,325,M,DEU,d386f37ea1e1df321f12115388f2b808d4043c96
28062,04:33:52,04:46:28,1947,65,198,M,DEU,a594fabdae70f90d026df80926417e00b1781d4e
31520,04:51:15,05:20:33,1946,65,263,M,DEU,792923e84932501935d51758524311a717956705
31737,04:52:36,04:54:19,1948,65,273,M,DEU,a8441f40d04450161d02d95386ab2bac8f316d69
25265,04:23:05,04:49:06,1945,65,154,M,DEU,657dc6b3d021f48c1e75b9fda1bc30a3380a3663
16296,03:56:00,04:08:35,1945,65,70,M,DNK,ff17f7681159e4a7281d4b298486fc3c196b1c95
17101,03:57:35,04:11:57,1948,65,76,M,FRA,4017a6854b3897860686a2f13bb4f155a4c60ad7
28185,04:34:21,04:53:35,1947,65,201,M,DEU,5a8d51f05ab63bfb6ce0598325fa0556c11354fc
11308,03:43:08,03:48:48,1947,65,32,M,NOR,b621a1f0be239fc3f43713684dc8deeb0646525f
5383,03:23:56,03:24:07,1946,65,10,M,NOR,34de96dfea42ec1bac06008487830f739157b1d8
21023,04:08:25,04:20:26,1946,65,112,M,NLD,e47b845088398339de5bb88ace06624a8b7cbb7f
29422,04:40:05,05:04:54,1947,65,228,M,FRA,5315d3624fdf7d1d87e0825bf91cb6c05f18dcab
19814,04:04:25,04:15:18,1948,65,99,M,FRA,9d806f348815de5d907a6ebf9b7fa8959f024098
32199,04:55:24,05:15:37,1948,65,280,M,DEU,d0385040c2c5c4e8636b54991524a8dd90c9a6b8
3588,03:15:07,03:16:39,1946,65,4,M,DNK,2e7e45cc181bd580afa601eb1376a69eb846eb96
15502,03:54:12,04:09:55,1948,65,65,M,DEU,48ae3368a9d4dcb25d327f449e70a1a248fb4f38
30656,04:46:28,05:03:21,1944,65,251,M,DEU,44fddacbf811f526e61ee285beadbe2b220911a5
23973,04:18:26,04:23:09,1944,65,142,M,NOR,989afe328cee657c67de988ff9c0f31cdbeb6cb0
23471,04:16:38,04:33:30,1946,65,136,M,AUT,6f102b26b4ef2ece4b130163ce457d22af9195d9
18514,04:00:21,04:13:08,1946,65,84,M,ESP,3ad5f68574387277b9cb6a283f077f4dd94bc9bb
27501,04:31:23,05:00:21,1948,65,189,M,DEU,974066836f874433db62f684afc23cfebf54c887
31730,04:52:34,05:17:39,1946,65,272,M,FRA,f1d9dda12ac87d770bcdd52880a5b38e5fcd78e6
12723,03:47:10,03:52:08,1948,65,39,M,DEU,fd6ba8ea959e2cae689e435c3f536486757327e6
27555,04:31:37,04:48:14,1948,65,190,M,DNK,33b0cd29a2b535b742c3a1822aea04efcc0cb0a9
27943,04:33:18,05:02:20,1948,65,195,M,DEU,c302ee2235cc5c28e6a6c7e9891ebdf95ef0c8b6
18925,04:01:39,04:04:26,1946,65,89,M,POL,7dfc9a975b5a1c31880c851a0108fa60c1b23d3e
28093,04:34:00,04:49:10,1945,65,199,M,DNK,78d8c7dc63f4549322270308c13c56aba67b0862
14038,03:50:33,04:06:04,1948,65,54,M,DNK,8435530daf57c2de2aa57a6abe9d040f641880f9
15206,03:53:33,04:11:17,1945,65,64,M,DEU,d4d65bd51ac057d0de9797f9a793821fed4cb4e2
11141,03:42:38,03:42:54,1944,65,31,M,DNK,18d97f9c4f2f531588d679eab924902310aa8210
30064,04:43:28,05:10:00,1944,65,238,M,DEU,fb5f06c2809ce4ce4cb861cd182d1b5649ef89e2
28557,04:36:04,04:36:19,1945,65,208,M,DEU,8d58e55832b711a36fe2f1aaa0a94803f9642af7
26714,04:28:27,04:45:08,1944,65,174,M,MEX,e921b082c2d4ea4327449ea5cab8d61de019a593
25927,04:25:30,04:42:49,1946,65,164,M,DNK,48b592019de2b30cfc404cb3da739afb1e34a91a
29026,04:38:04,04:55:24,1948,65,215,M,DNK,0824626d1250609ad58b10318017c5de2e5b5572
32939,05:00:15,05:25:03,1946,65,288,M,DEU,7c21b2871a4d299f7859b1c717d8ad03df6e3047
22440,04:13:06,04:23:56,1948,65,126,M,DEU,8d18e6507dcd794ccbfbdabee0f6ce66a9a8372d
21725,04:10:49,04:16:40,1948,65,120,M,FRA,a293d3ae3060fbea6c157266722cfbb2eb9aa7c5
25887,04:25:20,04:44:41,1948,65,163,M,NLD,b9744ef2ee4cd0ba7176d5af538d9f3e506f914f
25939,04:25:32,04:41:57,1945,65,165,M,FRA,b30e4742cd230c2ee5ff466e44314d777dce9cf5
33917,05:10:40,05:14:35,1945,65,310,M,DEU,06dd202aac8a47b73d19992afac2fae3382d37b4
33013,05:00:50,05:25:40,1945,65,290,M,DEU,d204da2c9e266a27a5a3941dd6657becaf68b7ad
35420,05:34:11,05:38:00,1946,65,352,M,FRA,c6bf382a38c708311e7a7f2f1b9c4aa644dfdab6
3240,03:13:19,03:16:16,1948,65,2,M,DEU,268e8e1a00651d2bbb2e6833f683acfc7b4e5078
16550,03:56:28,04:10:56,1948,65,71,M,LUX,b484eb56a0ddb4c43979f5d233d527e60c382a4e
29301,04:39:30,05:07:19,1948,65,222,M,NOR,cedc842bb011d513fb274bc46b1a9b52a1427af5
26305,04:26:52,04:51:08,1948,65,168,M,BRA,3787610a46c7de5ca86846f6cb96cac9888d2b5b
31716,04:52:27,05:19:48,1948,65,271,M,DEU,3e667219964a5938bad35e39d34d169f2e6f8de8
28240,04:34:36,04:47:03,1947,65,204,M,DEU,09edb338c314e8c2e9d174c6ace25eb2c4c73768
29732,04:41:45,04:59:24,1947,65,233,M,DEU,49256b6bae7d56667d72d1bb93e78b7109dcfd49
20058,04:05:16,04:19:32,1946,65,102,M,DEU,7b86d6c15f3f6d42c096fbfc30229c73d90ecd1f
24758,04:21:23,04:45:44,1945,65,148,M,DEU,01cd148cd5d5c9fe7df63f43f37679f2ae481a16
15172,03:53:29,03:55:57,1946,65,62,M,DEU,033eb1fc9bf639a79fb8a8e3c75069d4cbaca160
28220,04:34:29,04:46:50,1948,65,203,M,DEU,2bd5145747c3d33ae98b554e093c8de537ef99df
21770,04:10:56,04:28:52,1946,65,121,M,DEU,aa1f9b7a79cb7585786c5c80affec9d421e989b4
10946,03:42:05,03:53:50,1948,65,27,M,DEU,9c8686574255fce4006363e8b7a20d04c25caf78
17052,03:57:29,03:58:47,1947,65,75,M,FRA,1614c4ce76d7c7b2a3b0780660c5bcbabed3eff6
14017,03:50:29,04:05:03,1945,65,53,M,DEU,6bd9ab59d246060d7e49e8e749eb4a0872f6d087
25087,04:22:34,04:42:45,1947,65,152,M,DEU,809a4d7a884cd7e40ecd2bcd43db746a1b614047
34719,05:21:25,05:45:32,1948,65,334,M,DEU,d304e55ff79d4385e891e7d19b02eca0e8938456
31209,04:49:28,05:08:50,1946,65,259,M,DEU,62afd33f99ab3627e824b74df585bf59ed804b7a
11888,03:44:41,03:55:52,1947,65,34,M,DEU,82c20bd61648117209642be91d26348edb32cc18
30383,04:44:57,05:09:25,1946,65,247,M,DNK,da67d60b31211e2c941615e761df3d2c922d7e7e
34324,05:15:51,05:31:48,1948,65,323,M,DEU,2363584a7aee71290ae48adde03f3e0ccaf98121
29378,04:39:52,04:53:10,1948,65,227,M,CAN,666ddd1ad3969d60e85275c4c0e778c161d2be69
36426,06:28:45,06:54:06,1944,65,378,M,DEU,c56186e2c4a1355da994f112f0472a5941e9cce3
32987,05:00:37,05:27:27,1945,65,289,M,DEU,b9e16c2e2685a1bbed1258fb6ea6440ba1cd18ed
17297,03:57:54,04:04:06,1947,65,77,M,DEU,684ceb5d4eef934e7e906803422af4170ef6d128
19808,04:04:24,04:10:59,1947,65,98,M,DEU,a4d5fc7c3b5d37be3b14e7d2a7193496d1d0a5a5
35462,05:35:00,06:00:24,1948,65,353,M,DEU,e81e422d7e5b62a4f0df5c4777b1085a394d479a
35775,05:44:42,06:15:25,1948,65,363,M,DEU,df990edbd507395cbc88d3532ddd8b708f2f966b
21086,04:08:38,04:40:42,1944,65,115,M,DNK,bccc1e3adb9243b712491ab7b86e4d6dc9a59eed
23313,04:16:07,04:19:39,1947,65,134,M,DEU,489d06d2663ddce3f4ca46e29b2e317831fda3ae
35498,05:35:49,06:08:22,1948,65,356,M,IRN,ed92127aa056983bd93bec9bf6a8a0caf4ae8e04
34160,05:13:49,05:33:16,1946,65,316,M,DEU,9a9a289fd5ec97baf7e306b19d41446f12042e4f
29320,04:39:34,05:04:20,1946,65,225,M,DEU,9d17711de04c75f681b9f215acff3fbe9e8d136f
35018,05:26:21,05:39:05,1944,65,343,M,ISR,205b92b155b539cf9f12638e83da13c1904cd78e
36200,06:01:04,06:33:12,1944,65,369,M,DEU,be07c021e11d36fe849a12690e690b74b9e2b8be
13795,03:49:55,03:52:46,1948,65,50,M,NLD,c177ea3633ef6a0645e0bf6797a231bb022dd242
33817,05:09:37,05:22:45,1948,65,308,M,DEU,a61e84dd96c32e0eb0c89a4e4d38ef05be27efa1
29423,04:40:05,04:51:15,1947,65,229,M,FRA,26533ae91687e6c80338249a893ecbb370646a9c
12026,03:45:04,03:47:08,1946,65,36,M,SWE,8b47d74e37f5f29a1210ec34b6499b1c119ef65a
27367,04:30:48,04:51:09,1946,65,187,M,DNK,8c8c2c7521c179e61b22ce0352e4021bfc86e1d1
34133,05:13:33,05:41:14,1948,65,314,M,AUT,832bc51fc780b0d66fb5769807061de3f8f0123f
